y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,label
-4,-1,3,11,19,26,32,38,45,50,54,57,60,63,66,68,69,71,73,74,74,74,74,74,74,74,74,74,73,72,51
7,8,8,13,19,26,33,36,40,40,41,40,40,40,40,40,40,40,40,40,41,41,40,39,39,39,38,38,38,38,75
0,2,10,19,25,33,38,42,44,45,46,48,50,50,50,50,51,51,51,51,51,52,52,52,51,50,49,48,47,46,60
-1,0,2,12,21,30,37,40,41,44,47,50,53,54,55,55,55,55,55,55,55,55,55,55,54,53,52,52,52,50,49
4,3,8,11,18,23,27,30,35,41,45,47,48,51,51,52,51,52,52,52,52,52,52,52,52,52,52,52,52,52,70
5,10,19,28,33,37,40,43,47,51,54,56,58,59,60,60,61,62,62,62,62,63,63,63,64,64,64,63,63,62,76
1,4,10,19,27,37,45,51,55,58,61,64,66,67,68,68,68,67,66,65,65,64,64,64,64,64,64,64,64,63,56
4,10,17,30,38,45,50,55,60,64,68,72,74,75,75,75,75,74,74,75,75,75,75,75,75,74,73,73,73,73,81
10,12,13,18,26,33,40,47,50,52,52,51,52,52,52,52,51,51,51,51,50,49,49,49,48,47,47,46,45,44,72
4,8,15,21,28,34,38,42,46,47,48,50,51,53,53,53,54,55,55,55,54,54,54,54,54,54,53,52,52,51,63
3,3,6,12,21,26,32,36,39,41,44,46,49,52,53,54,54,54,54,54,54,53,52,52,52,51,50,49,49,48,53
2,2,5,14,22,28,33,36,39,42,45,48,49,50,50,50,51,51,51,51,51,51,51,51,51,51,51,50,49,48,48
1,3,7,13,20,25,33,40,44,46,47,49,52,55,57,57,57,57,57,58,57,57,57,57,57,56,56,56,55,55,51
6,10,16,23,26,30,35,40,44,48,51,55,58,60,60,61,61,61,61,61,61,61,61,61,61,60,59,59,59,59,75
1,6,16,28,38,43,48,53,56,58,60,62,63,63,64,65,65,66,67,68,68,68,68,68,68,68,68,68,68,67,96
3,4,5,10,18,26,34,40,46,52,56,58,61,64,64,65,65,65,65,64,65,65,64,64,63,63,63,62,62,62,57
2,4,13,23,30,36,43,48,53,57,62,65,67,68,68,69,71,72,72,72,72,72,72,73,73,73,72,72,71,70,61
4,7,10,16,22,28,32,35,40,41,42,43,44,45,45,45,44,44,43,43,43,43,43,43,43,43,42,42,41,41,55
9,12,16,19,24,30,37,42,44,45,47,49,51,53,53,54,53,53,53,53,53,53,53,53,53,53,53,53,53,52,64
0,3,6,12,17,21,28,32,36,40,42,43,45,48,49,50,50,50,50,50,50,50,50,50,50,50,50,49,50,50,75
0,1,4,10,16,23,29,35,39,42,46,49,52,54,55,56,57,58,58,59,59,59,59,59,59,58,57,57,56,55,67
2,4,8,14,20,26,34,39,45,51,56,60,63,65,66,66,66,66,66,67,68,69,69,69,69,69,69,69,69,68,81
4,9,15,22,27,32,37,42,46,48,50,53,55,55,56,57,58,58,58,59,59,59,59,59,59,58,58,58,58,58,76
12,15,21,28,35,41,47,52,55,57,59,61,62,63,64,64,65,65,65,65,65,65,65,65,65,65,65,66,66,67,72
6,8,17,28,39,47,52,55,57,59,62,64,66,68,70,71,72,73,73,74,74,74,74,75,75,76,76,77,77,77,85
3,5,11,17,21,26,33,37,38,40,39,41,42,43,44,44,44,44,44,44,44,44,44,44,44,44,43,43,43,42,70
6,6,8,14,19,25,32,37,38,38,39,41,43,44,45,45,44,44,44,44,44,44,44,43,42,42,42,42,42,41,64
1,5,11,20,27,33,36,37,41,44,46,47,50,52,51,51,51,51,51,51,51,50,50,50,49,48,48,47,46,47,67
0,1,5,9,16,21,25,28,31,37,44,47,48,50,52,53,53,53,54,54,55,56,56,56,56,56,55,55,55,55,66
0,1,3,10,17,25,34,40,44,47,50,52,55,56,57,57,58,58,58,57,57,57,56,56,56,55,55,54,54,53,59
1,1,3,8,15,23,30,36,42,46,48,52,55,56,57,57,57,57,58,58,58,58,58,57,57,57,56,56,56,55,77
7,10,12,19,27,34,41,48,53,57,62,63,64,65,66,67,67,67,67,67,67,66,66,66,66,66,65,65,64,63,57
0,3,9,17,28,35,42,46,49,51,54,56,59,60,62,63,63,64,64,64,65,65,65,64,64,63,63,63,62,61,54
2,6,13,23,33,40,44,47,50,52,55,57,59,62,64,65,65,66,67,67,67,66,66,66,66,66,66,66,66,66,59
0,1,5,11,17,22,28,32,34,36,39,42,43,45,46,48,49,50,50,50,50,51,52,52,51,51,51,51,51,51,62
0,3,9,16,22,26,31,36,40,43,46,48,51,53,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,73
3,5,8,17,25,33,38,41,46,50,53,56,58,60,61,62,63,64,65,65,66,66,66,66,66,66,66,65,65,64,77
0,0,3,11,20,28,34,39,42,45,48,52,55,58,60,62,64,64,64,64,65,66,67,67,67,66,67,67,67,67,80
1,3,8,16,22,29,35,40,44,49,51,54,58,61,63,65,66,67,68,69,70,71,71,72,72,72,72,72,72,72,82
0,3,8,16,23,28,34,38,43,47,51,55,59,62,64,65,67,68,69,69,70,71,72,72,71,71,71,71,71,71,66
2,6,11,15,23,28,32,36,37,38,40,41,42,43,44,44,44,44,44,44,44,44,44,44,44,44,44,43,42,42,65
0,0,3,8,14,21,26,31,35,37,40,41,43,44,45,45,45,45,45,45,45,44,43,42,41,40,39,38,38,38,63
1,2,6,10,15,22,28,32,36,40,43,47,50,52,53,54,55,55,55,55,55,55,55,55,55,54,54,54,54,54,65
3,6,9,14,20,25,29,33,37,42,45,48,49,51,52,53,54,54,55,55,55,55,55,54,54,54,54,54,54,53,63
4,9,17,25,32,39,44,48,51,54,56,59,61,62,62,62,63,63,63,63,63,63,63,64,64,64,64,64,63,63,99
2,6,13,20,27,34,40,45,50,54,57,60,63,65,66,67,67,67,67,67,68,69,70,70,70,70,70,70,70,70,96
0,2,5,12,20,27,33,38,41,45,48,50,53,56,59,60,61,61,61,62,61,61,60,60,60,60,60,60,60,60,55
1,5,9,17,26,32,37,41,45,48,51,55,59,62,64,67,68,69,69,69,68,68,67,67,66,66,66,66,65,64,63
3,4,8,13,18,24,29,30,32,34,36,37,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,39,39,68
2,4,7,12,17,22,28,32,36,39,41,42,43,43,43,43,44,45,45,45,45,45,45,45,45,45,44,44,43,42,57
0,1,4,9,16,23,30,34,39,42,45,47,49,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,58
0,2,4,10,15,20,26,31,35,38,42,45,48,50,52,52,53,54,55,55,54,54,54,53,53,53,53,52,52,52,65
0,1,5,12,18,26,33,39,44,48,51,54,56,58,59,59,59,59,59,59,59,59,59,59,59,59,58,57,57,56,78
